,price,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,semi-furnished,unfurnished
0,13300000,4,2,3,1,0,0,0,1,2,1,0,0
1,12250000,4,4,4,1,0,0,0,1,3,0,0,0
2,12250000,3,2,2,1,0,1,0,0,2,1,1,0
3,12215000,4,2,2,1,0,1,0,1,3,1,0,0
4,11410000,4,1,2,1,1,1,0,1,2,0,0,0
5,10850000,3,3,1,1,0,1,0,1,2,1,1,0
6,10150000,4,3,4,1,0,0,0,1,2,1,1,0
7,10150000,5,3,2,1,0,0,0,0,0,0,0,1
8,9870000,4,1,2,1,1,1,0,1,2,1,0,0
9,9800000,3,2,4,1,1,0,0,1,1,1,0,1
10,9800000,3,1,2,1,0,1,0,1,2,1,0,0
11,9681000,4,3,2,1,1,1,1,0,2,0,1,0
12,9310000,4,2,2,1,0,0,0,1,1,1,1,0
13,9240000,4,2,2,1,0,0,1,0,2,0,0,0
14,9240000,3,2,2,1,0,0,0,0,0,1,1,0
15,9100000,4,1,2,1,0,1,0,0,2,0,1,0
16,9100000,4,2,2,1,1,1,0,1,1,1,0,1
17,8960000,3,2,4,1,0,0,0,1,2,0,0,0
18,8890000,3,2,2,1,1,0,0,1,2,0,0,0
19,8855000,3,2,2,1,0,0,0,1,1,1,1,0
20,8750000,3,1,2,1,0,1,1,0,2,0,1,0
21,8680000,3,2,1,1,1,1,0,1,2,0,0,1
22,8645000,3,1,1,1,1,1,0,1,1,0,0,0
23,8645000,3,2,2,1,1,1,0,1,1,0,0,0
24,8575000,3,2,2,1,0,0,0,1,2,0,0,0
25,8540000,4,2,2,1,1,1,0,1,2,1,0,0
26,8463000,3,2,4,1,1,1,0,1,0,1,1,0
27,8400000,3,1,1,1,0,0,0,0,1,0,1,0
28,8400000,5,2,2,1,0,1,1,0,2,0,0,1
29,8400000,4,2,2,1,0,1,0,1,1,1,1,0
30,8400000,3,2,4,1,0,0,0,1,2,0,0,1
31,8400000,3,1,4,1,0,0,0,1,2,0,1,0
32,8295000,4,2,2,1,0,0,0,1,1,1,0,0
33,8190000,3,3,2,1,1,1,0,0,1,0,0,1
34,8120000,5,1,2,1,1,1,0,1,1,0,0,0
35,8080940,3,2,4,1,0,0,0,1,2,0,0,0
36,8043000,3,2,3,1,0,0,1,0,1,1,0,0
37,7980000,4,2,4,1,0,0,0,1,2,0,0,0
38,7962500,3,1,4,1,1,0,0,1,2,0,0,1
39,7910000,4,2,4,1,0,0,0,1,1,0,1,0
40,7875000,3,1,2,1,0,1,0,1,0,1,0,0
41,7840000,3,2,4,1,0,0,0,1,0,1,0,0
42,7700000,3,2,4,1,0,0,0,1,2,0,0,1
43,7700000,4,2,4,1,0,0,0,0,2,0,1,0
44,7560000,4,2,4,1,0,0,0,1,1,0,0,0
45,7560000,3,2,3,1,0,0,0,1,0,0,1,0
46,7525000,3,2,4,1,0,0,0,1,1,0,0,0
47,7490000,3,1,4,1,0,0,0,1,3,1,0,0
48,7455000,3,2,2,1,0,1,0,0,1,0,0,1
49,7420000,3,2,1,1,1,1,0,1,0,1,1,0
50,7420000,3,2,4,1,0,0,0,0,1,1,0,1
51,7420000,3,1,4,1,0,0,0,1,1,0,0,1
52,7350000,4,2,4,1,1,0,0,1,1,0,0,0
53,7350000,3,2,4,1,0,0,0,1,2,0,1,0
54,7350000,3,2,2,1,1,0,0,1,1,0,1,0
55,7350000,3,1,2,1,0,0,0,1,1,0,0,1
56,7343000,4,1,2,1,0,1,0,0,1,1,1,0
57,7245000,4,2,4,1,1,0,0,1,1,1,0,0
58,7210000,4,2,4,1,1,0,0,1,1,0,1,0
59,7210000,3,2,4,1,1,0,0,1,1,0,0,0
60,7140000,3,2,2,1,1,0,0,0,1,0,1,0
61,7070000,2,1,1,1,0,0,0,1,1,0,1,0
62,7070000,4,2,2,1,0,0,0,1,1,0,0,0
63,7035000,4,2,3,1,0,0,0,1,2,1,0,0
64,7000000,3,1,1,1,0,1,0,1,1,1,0,0
65,6930000,3,2,2,1,0,1,0,1,1,0,0,0
66,6930000,2,1,1,1,0,1,1,0,1,0,0,0
67,6895000,3,2,1,1,0,0,0,0,2,0,0,1
68,6860000,3,1,1,1,0,0,0,1,1,0,0,0
69,6790000,4,2,2,1,0,0,0,0,2,1,0,0
70,6790000,3,2,2,1,0,1,0,1,0,1,1,0
71,6755000,4,2,4,1,0,0,0,1,0,0,0,1
72,6720000,3,1,4,1,0,0,0,1,0,1,0,1
73,6685000,2,2,4,1,0,1,0,0,0,1,0,0
74,6650000,3,1,2,1,0,1,1,0,1,0,0,0
75,6650000,4,2,2,1,0,0,1,0,0,0,1,0
76,6650000,3,2,3,1,0,0,0,1,0,1,0,0
77,6650000,3,2,3,1,0,0,0,1,0,1,0,0
78,6650000,3,1,1,1,1,1,0,1,2,1,0,0
79,6650000,3,2,3,1,1,0,0,1,0,0,0,0
80,6629000,3,1,2,1,0,0,1,0,1,1,1,0
81,6615000,3,2,2,1,0,1,0,1,1,0,1,0
82,6615000,3,2,1,1,0,1,0,1,1,1,0,0
83,6580000,3,2,4,1,0,0,0,1,0,0,1,0
84,6510000,3,1,2,1,0,0,1,0,2,0,1,0
85,6510000,3,2,3,1,0,0,0,1,0,0,0,0
86,6510000,3,1,3,1,0,1,0,0,0,1,0,1
87,6475000,3,1,1,1,0,1,0,0,2,0,1,0
88,6475000,3,1,1,1,1,1,0,1,2,1,0,1
89,6440000,5,3,2,1,0,0,0,0,2,0,0,0
90,6440000,3,1,2,1,0,0,0,1,0,0,1,0
91,6419000,2,1,1,1,1,1,0,0,2,1,0,0
92,6405000,3,2,4,1,1,0,0,1,0,0,0,0
93,6300000,3,2,1,1,0,1,0,1,3,0,1,0
94,6300000,4,2,4,1,0,0,0,0,1,0,1,0
95,6300000,3,2,3,1,0,0,0,1,2,0,1,0
96,6300000,3,1,1,1,0,1,0,0,1,1,0,0
97,6300000,3,1,1,1,1,1,0,1,1,1,1,0
98,6293000,3,2,3,1,0,0,0,1,0,1,0,1
99,6265000,4,1,3,1,1,1,0,0,0,1,0,1
100,6230000,3,2,1,1,0,1,0,1,0,1,0,1
101,6230000,3,1,3,1,0,0,0,0,1,1,0,1
102,6195000,3,2,4,1,1,0,0,1,1,0,1,0
103,6195000,3,2,3,1,1,0,0,1,0,0,0,0
104,6195000,3,2,1,1,1,1,0,0,2,1,0,0
105,6160000,3,1,4,1,0,0,0,1,0,0,0,1
106,6160000,4,2,1,1,0,1,0,1,0,1,1,0
107,6125000,3,1,3,1,0,1,0,0,0,1,0,1
108,6107500,4,1,3,1,0,0,0,0,1,0,1,0
109,6090000,4,2,2,1,1,0,1,0,1,0,1,0
110,6090000,3,1,1,1,1,1,0,0,2,1,1,0
111,6090000,3,1,3,1,0,0,0,1,2,0,0,1
112,6083000,6,2,2,1,0,0,0,0,0,0,0,0
113,6083000,3,1,1,1,0,1,0,0,2,1,0,0
114,6020000,2,1,1,1,1,1,0,0,2,0,0,0
115,6020000,3,1,1,1,1,1,0,1,2,1,1,0
116,6020000,3,2,1,1,1,1,0,0,0,1,0,1
117,5950000,4,1,2,1,1,0,0,1,0,0,0,0
118,5950000,3,1,1,1,0,1,0,1,0,1,0,0
119,5950000,3,1,1,1,0,1,0,1,2,1,1,0
120,5950000,3,1,1,1,1,1,0,0,2,1,0,0
121,5950000,3,1,2,1,1,1,0,1,0,1,1,0
122,5950000,4,2,1,1,0,1,0,0,1,1,1,0
123,5950000,4,2,2,1,0,0,0,0,0,0,0,0
124,5950000,3,2,4,1,0,0,0,0,1,0,0,0
125,5943000,3,1,1,1,0,0,0,1,2,0,1,0
126,5880000,3,1,1,1,0,1,0,0,2,1,0,1
127,5880000,3,2,3,1,0,0,0,1,0,0,0,1
128,5873000,3,1,3,1,1,0,0,1,1,0,0,0
129,5873000,3,1,3,1,0,0,0,0,2,1,1,0
